Schedule,Paragraph,Description,H-S Extra,Specific_HS,Units_HS,Ad_Valorem_HS,Extra,Specific_Geneva,Units_Geneva,Ad_Valorem_Geneva,Specific_Annecy,Units_Annecy,Ad_Valorem_Annecy,Specific_Torquay,Units_Torquay,Ad_Valorem_Torquay
1,1,Acetic acid containing by weight of acetic acid: Not over 65%,"Missing: arsenic acid 3 cents per pound; gallic acid 6 cents per pound; pyrogallic acid, 12 cents per bound",1.375,1,,,0.5,1,,,,,0.5,1,
1,,Acetic acid containing by weight of acetic acid: Over 65%,,2,1,,,0.75,1,,,,,0.625,1,
1,,Acetic anhydride,,3.5,1,,,1.75,1,,,,,1.75,1,
1,,Boric acid,,1,1,,,,,,0.5,1,,0.5,1,
1,,Carbon dioxide weighing with immediate containers and carton not over 1 pound per carton,,1,1,,"On contents, immediate containers, and carton.",1,1,,,,,1,1,
1,,Chloroacetic acid,,5,1,,,,,,,,,1.25,1,
1,,Citric acid,,17,1,,,,,,,,,8.5,1,
1,,"Extracts of nutgalls; tannic acid; and tannin; all the foregoing, containing by weight of tannic acid: Under 50%",,5,1,,,2.5,1,,,,,2.5,1,
1,,"Extracts of nutgalls; tannic acid; and tannin; all the foregoing, containing by weight of tannic acid: 50% or more and not medicinal",,11,1,,,5.5,1,,,,,5.5,1,
1,,"Extracts of nutgalls; tannic acid; and tannin; all the foregoing, containing by weight of tannic acid: 50% or more and medicinal",,18,1,,,9,1,,,,,9,1,
1,,Formic acid,,3,1,,,,,,,,,2.4,1,
1,,Lactic acid containing by weight of lactic acid: Under 30%,,2,1,,,,,,,,,1,1,
1,,Lactic acid containing by weight of lactic acid: 30% or more but under 55%,,4,1,,,,,,,,,2,1,
1,,Lactic acid containing by weight of lactic acid: 55% or more,,9,1,,,,,,,,,4.5,1,
1,,"Lactic acid containing by weight of lactic acid: Provided, That the duty on lactic acid shall not be less than",Shall not be less than 25% ad val,,1,,,,,,,,,,,12.5
1,,Oleic acid or red oil,,,,20,,,,10,,,,,,10
1,,Oxalic acid,,6,1,,,,,,,,,4.8,1,
1,,Phosphoric acid,,2,1,,,,,,,,,1,1,
1,,Tartaric acid,,8,1,,,,,,6,1,,6,1,
1,,"Acids and acid anhydrides nspf: Fatty alcohols and fatty acids, sulphated",,,,25,,,,12.5,,,,,,12.5
1,,Acids and acid anhydrides nspf: Naphthenic acids,,,,25,,,,,,,,,,6.25
1,,Acids and acid anhydrides nspf: Stearic acid,,,,25,,,,12.5,,,,,,12.5
1,,Acids and acid anhydrides nspf: Other (except barbituric acids),,,,25,,,,,,,,,,12.5
1,2,"Acetaldehyde, aldehyde ammonia, aldol or acetaldol, butyraldehyde, crotonaldehyde, paracetaldehyde; allyl alcohol, crotonyl alcohol, vinyl alcohol, and all other olefin or unsaturated alcohols; butylene chlorohydrin, ethylene chlorohydrin, propylene chlorohydrin; butylene dichloride, ethylene dichloride, propylene dichloride; butylene oxide, ethylene oxide, propylene oxide; butylene glycol, ethylene glycol, propylene glycol, and all other glycols or dihydric alcohols; monoethanolamine, diethanolamine, triethanoiamine, ethylene diamine, and all other hydroxy alkyl amines and alkylene diamines; homologues and polymers of all the foregoing; esters, ethers, nitrogenous compounds, and salts of any of the foregoing, whether polymerized or unpolymerized; and mixtures in chief value of any one or more of the foregoing; all the foregoing nspf: Vinyl acetate, polymerized or unpolymerized, and synthetic resins made in chief value therefrom",HS: no differentiation. I used uniform tax rate here.,6,1,30,Torquay list specific chemicals.,1.5,1,7.5,,,,1.5,1,7.5
1,,"Acetaldehyde, aldehyde ammonia, aldol or acetaldol, butyraldehyde, crotonaldehyde, paracetaldehyde; allyl alcohol, crotonyl alcohol, vinyl alcohol, and all other olefin or unsaturated alcohols; butylene chlorohydrin, ethylene chlorohydrin, propylene chlorohydrin; butylene dichloride, ethylene dichloride, propylene dichloride; butylene oxide, ethylene oxide, propylene oxide; butylene glycol, ethylene glycol, propylene glycol, and all other glycols or dihydric alcohols; monoethanolamine, diethanolamine, triethanoiamine, ethylene diamine, and all other hydroxy alkyl amines and alkylene diamines; homologues and polymers of all the foregoing; esters, ethers, nitrogenous compounds, and salts of any of the foregoing, whether polymerized or unpolymerized; and mixtures in chief value of any one or more of the foregoing; all the foregoing nspf: Other",,6,1,30,Torquay list specific chemicals.,,,,,,,3,1,15
1,3,"Acetone and ethyl methyl ketone and their homologues, and acetone oil",HS: not mentioned,,,20,,,,,,,,,,10
1,4,"Amyl, butyl, hexyl, and propyl alcohols, whether primary, secondary, or tertiary",,6,1,,,3,1,,,,,3,1,
1,,Fusel oil,,6,1,,,3,1,,,,,3,1,
1,,Mixtures in chief value of any one or more of the foregoing,,6,1,,,,,,,,,3,1,
1,,Ethyl alcohol for nonbeverage purposes only,,15,2,,,7.5,2,,,,,7.5,2,
1,5,Ammonium silicofluoride,HS: no differentiation. I used uniform tax rate here.,,,25,,,,,,,,,,10
1,,Haarlem oil,,,,25,,,,,,,,,,7.5
1,,"Other chemical elements, chemical salts and compounds, medicinal preparations, and combinations and mixtures of any of the foregoing; all the foregoing obtained naturally or artificially and nspf (except ajinomoto and other monosodium glutamate preparations, and except products chiefly used as assistants in preparing or finishing textiles)",,,,25,,,,,,,,,,12.5
1,6,Aluminum hydroxide or refined bauxite,HS: more description and differentiation in this part,0.5,1,,,0.25,1,,,,,0.25,1,
1,,Aluminum salts and compounds nspf,,,,25,,,,12.5,,,,,,12.5
1,,Aluminum sulphate,,,,,,0.1,1,,,,,0.1,1,
1,,Ammonium aluminum sulphate or ammonia alum,,0.75,,,,,,,,,,0.375,1,
1,7,Ammonium carbonate and bicarbonate,,2,1,,,0.5,1,,,,,0.5,1,
1,,Ammonium chloride,,1.25,1,,,0.625,1,,,,,0.625,1,
1,,Ammonium nitrate,,1,1,,,0.5,1,,,,,0.5,1,
1,,Ammonium perchlorate,,1.5,1,,,1,1,,,,,0.75,1,
1,,Ammonium phosphate,,1.5,1,,,,,,,,,0.75,1,
1,,Liquid anhydrous ammonia,,2.5,1,,,1.25,1,,,,,1.25,1,
1,8,Antimony oxide,HS: Tartar emetic or potassium-antimony tartarate 6 cents per pound,2,1,,,1,1,,,,,1,1,
1,,"Antimony sulphides, nspf",,1,1,25,,0.5,1,12.5,,,,0.5,1,12.5
1,9,"Argols, tartar, and wine lees, containing 90% or more of potassium bitartrate",,5,1,,,,,,,,,2.5,1,
1,,Cream of tartar,,5,1,,,,,,3.75,1,,3.75,1,
1,10,"Balsams, natural and uncompounded and not containing alcohol: Copaiba",HS: no differentiation. I used uniform tax rate here.,,,10,,,,5,,,,,,2.5
1,,"Balsams, natural and uncompounded and not containing alcohol: Fir or Canada",,,,10,,,,5,,,,,,2.5
1,,"Balsams, natural and uncompounded and not containing alcohol: Peru",,,,10,,,,,,,2.5,,,2.5
1,,"Balsams, natural and uncompounded and not containing alcohol: Styrax",,,,10,,,,,,,5,,,5
1,,"Balsams, natural and uncompounded and not containing alcohol: Other (not including tolu)",,,,10,,,,,,,2.5,,,2.5
1,11,"Synthetic resins made in chief value from vinyl acetate, nspf","HS: Amber and amberoid  unmanufactured, nspf 50 cents per pound; Arabic or senegal 0.5 cents per bound",4,1,30,,1.5,1,7.5,,,,1.5,1,7.5
1,12,"Barium carbonate, precipitated",,1.5,1,,,,,,,,,1.2,1,
1,,Barium chloride,,2,1,,,,,,,,,1.6,1,
1,,Barium dioxide,,6,1,,,,,,,,,4.8,1,
1,,Barium hydroxide,,1.25,1,,,,,,,,,1.25,1,
1,,Barium nitrate,,2,1,,,,,,,,,1,1,
1,,Barium oxide,,2.5,1,,,,,,,,,2,1,
1,13,"Blackings, creams, liquids, and powders for cleaning or polishing, nspf, and not containing alcohol",HS: paragraph 14  Bleaching powder or chlorinated lime 0.3 cents per pound,,,25,,,,7.5,,,,,,7.5
1,15,Caffeine,,125,1,,,60,1,,,,,60,1,
1,,Caffeine citrate,,75,1,,,50,1,,,,,50,1,
1,,Compounds of caffeine,,,,25,,,,17,,,,,,17
1,,Theobromine,,75,1,,,40,1,,,,,32.5,1,
1,16,"Calcium acetate, crude",,1,1,,,0.25,1,,,,,0.25,1,
